LLD_Index,Arousal_Noisy,Valence_Noisy,Dominance_Noisy,Arousal_Enhanced,Valence_Enhanced,Dominance_Enhanced,Arousal_Delta,Valence_Delta,Dominance_Delta
1,0.0,-9.133341999367771e-11,-1.954931713472191e-15,-1.2336921374343952e-14,0.0,4.2344406925081894e-14,-1.2336921374343952e-14,9.133341999367771e-11,4.4299338638554085e-14
2,0.1145898401737213,0.0080206906422972,0.2482843250036239,0.0782921686768531,-0.0002219186426373,0.030642906203866,-0.0362976714968682,-0.008242609284934501,-0.2176414187997579
3,0.0128088351339101,0.0118082100525498,-0.0062784440815448,0.0077764419838786,0.0137458723038434,0.0018512901151552,-0.005032393150031499,0.0019376622512935985,0.0081297341967
4,0.0035310555249452,0.0037060573231428,0.0046736877411603,0.0035633374936878,-0.0031422371976077,0.0037296521477401,3.228196874259992e-05,-0.0068482945207505,-0.0009440355934201999
5,0.1255404651165008,0.0010181127581745,0.1229162886738777,0.0265906807035207,0.0005138982087373,0.0208747722208499,-0.09894978441298011,-0.0005042145494372001,-0.10204151645302781
6,0.1312446892261505,0.0110504608601331,0.130182072520256,0.0222766008228063,-0.0035015363246202,0.003675514832139,-0.10896808840334421,-0.0145519971847533,-0.126506557688117
7,0.1132939606904983,0.0124327540397644,0.2554580271244049,0.0968925282359123,0.0061230929568409,0.1623193323612213,-0.016401432454586,-0.006309661082923501,-0.0931386947631836
8,0.252327412366867,0.0051854667253792,0.2139751613140106,0.115134947001934,-0.005274367518723,0.0927518457174301,-0.13719246536493301,-0.0104598342441022,-0.12122331559658049
9,0.0160575900226831,0.0102217094972729,0.1230697035789489,0.0726306736469268,0.0174247380346059,0.0091822557151317,0.056573083624243695,0.0072030285373329995,-0.1138874478638172
10,0.2504830658435821,0.0034951921552419,0.4042819142341614,0.0949094519019126,0.0014685993082821,0.1180552467703819,-0.1555736139416695,-0.0020265928469598,-0.28622666746377945
11,0.0238839816302061,-0.0002256625884911,0.0073671340942382,0.0004645041190087,-0.0017150567146018,-0.0006090472452342,-0.0234194775111974,-0.0014893941261107,-0.0079761813394724
12,0.0451923720538616,0.0094807222485542,0.0876018926501274,0.2255723029375076,1.5392830391647294e-05,0.4172896146774292,0.180379930883646,-0.009465329418162553,0.3296877220273018
13,0.1054449751973152,0.0157463178038597,0.2311703860759735,0.1066218763589859,0.0057121342979371,0.0391429476439952,0.0011769011616706987,-0.010034183505922601,-0.1920274384319783
14,0.1253934055566787,4.4988668378209695e-05,0.1360445320606231,0.1516360789537429,0.0095100281760096,0.2583049535751343,0.02624267339706421,0.00946503950763139,0.12226042151451116
15,-0.0197809655219316,0.0089197568595409,-0.0009369312901981,-0.0034120951313525,0.0041325059719383,8.833570609567687e-05,0.0163688703905791,-0.0047872508876026,0.001025266996293777
16,-0.0054388465359807,-0.0027355947531759,-0.0019480566261336,-0.0106597049161791,0.0173761714249849,-0.0014091439079493,-0.005220858380198401,0.020111766178160802,0.0005389127181842999
17,-0.0007703355513513,0.0190925356000661,-0.0076150079257786,-0.0066429083235561,0.0195533372461795,-0.0081851715222001,-0.0058725727722048,0.00046080164611339916,-0.000570163596421501
